Company Name,Ticker,Exchange,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry
China Mobile Ltd,00941,Hong Kong Exchanges And Clearing Ltd,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
Aluminum Corporation of China Ltd,2600,Hong Kong Exchanges And Clearing Ltd,Materials,Materials,Metals & Mining,Aluminum
Tencent Holdings Ltd,00700,Hong Kong Exchanges And Clearing Ltd,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
Meituan,03690,Hong Kong Exchanges And Clearing Ltd,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Distributors,Broadline Retail
China Construction Bank Corp,00939,Hong Kong Exchanges And Clearing Ltd,Financials,Banks,Banks,Diversified Banks
Ping An Insurance (Group) Co. of China Ltd,02318,Hong Kong Exchanges And Clearing Ltd,Financials,Insurance,Insurance,Life & Health Insurance
China State Construction International Holdings Ltd,03311,Hong Kong Exchanges And Clearing Ltd,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
Anhui Conch Cement Co Ltd,00914,Hong Kong Exchanges And Clearing Ltd,Materials,Materials,Construction Materials,Construction Materials
Huaneng Power International Inc,0902,Hong Kong Exchanges And Clearing Ltd,Utilities,Utilities,Independent Power and Renewable Electricity Producers,Independent Power Producers & Energy Traders
HD Korea Shipbuilding & Offshore Engineering Company,009540,Korea Exchange,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Transportation Equipment
Samsung Electronics Co Ltd,005930,Korea Exchange,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
"POSCO Future M Co., Ltd",003670,Korea Exchange,Materials,Materials,Metals & Mining,Steel
LG Chem Ltd.,51910,Korea Exchange,Materials,Materials,Chemicals,Commodity Chemicals
Alphawave IP Group,AWE,London Stock Exchange,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
Bunzl PLC,BNZL,London Stock Exchange,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors
BT Group PLC,BT.A,London Stock Exchange,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
City of London Investment Group PLC,CLIG,London Stock Exchange,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks
Compass Group PLC,CPG,London Stock Exchange,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
Dominos Pizza Inc,DOM,London Stock Exchange,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
discoverIE Group PLC,DSCV,London Stock Exchange,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
easyJet PLC,EZJ,London Stock Exchange,Industrials,Transportation,Passenger Airlines,Passenger Airlines
Glencore PLC,GLEN,London Stock Exchange,Materials,Materials,Metals & Mining,Diversified Metals & Mining
HSBC Holdings PLC,HSBA,London Stock Exchange,Financials,Banks,Banks,Diversified Banks
Hostelworld Group PLC,HSW,London Stock Exchange,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
InterContinental Hotels Group PLC,IHG,London Stock Exchange,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
Johnson Matthey PLC,JMAT,London Stock Exchange,Materials,Materials,Chemicals,Specialty Chemicals
Lloyds Banking Group PLC,LLOY,London Stock Exchange,Financials,Banks,Banks,Diversified Banks
Mondi PLC,MNDI,London Stock Exchange,Materials,Materials,Paper & Forest Products,Paper Products
NatWest Group PLC,NWG,London Stock Exchange,Financials,Banks,Banks,Diversified Banks
Next PLC,NXT,London Stock Exchange,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Distributors,Broadline Retail
On The Beach Group PLC,OTB,London Stock Exchange,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
Pearson PLC,PSON,London Stock Exchange,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
Reckitt Benckiser Group PLC,RKT,London Stock Exchange,Consumer Staples,Household & Personal Products,Household Products,Household Products
Rightmove Plc,RMV,London Stock Exchange,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
Rolls-Royce Holdings PLC,RR,London Stock Exchange,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
Sainsbury (J) PLC,SBRY,London Stock Exchange,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Food Retail
Schroders PLC,SDR,London Stock Exchange,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks
